,
{ "UtcTime": "2024-11-07T12:43:07.655Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"RelayToken": "Output_1"},"Data":{"LogicalState": "inactive"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"RelayToken": "Output_2"},"Data":{"LogicalState": "inactive"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"InputToken": "Input_1"},"Data":{"LogicalState": "false"}},
{ "UtcTime": "2024-11-07T12:53:17.794Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:53:18.833Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:53:20.905Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:53:21.967Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:53:24.122Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:53:25.095Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:53:27.162Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:53:28.450Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:53:29.500Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:53:31.643Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:53:33.762Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:53:34.831Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:53:35.890Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:53:36.898Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:53:38.964Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:53:40.049Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:53:41.035Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:53:42.101Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:53:43.401Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:53:44.456Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:53:45.496Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:53:49.629Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:53:51.639Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:53:52.697Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:53:53.824Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:53:54.701Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:53:56.823Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:53:57.834Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:53:58.894Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:54:01.030Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:54:02.035Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:54:04.104Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:54:09.231Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:54:11.296Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:54:12.301Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:54:13.299Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:54:14.359Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:54:15.366Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:54:16.644Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:54:17.737Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:54:19.434Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:54:21.498Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:54:22.501Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:54:23.571Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:54:24.591Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:54:25.632Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:54:26.678Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:54:28.640Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:54:29.726Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:54:30.760Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:54:31.763Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:54:32.830Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:54:33.833Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:54:34.904Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:54:35.960Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:54:36.970Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:54:38.034Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:54:39.034Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:54:40.426Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:54:41.432Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:54:43.497Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:54:45.501Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:54:46.563Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:54:47.628Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:54:48.974Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:54:50.004Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:54:51.029Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:54:52.250Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:54:54.365Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:54:56.453Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:54:57.501Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:54:58.567Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:54:59.635Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "12"}},
{ "UtcTime": "2024-11-07T12:55:00.712Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:55:01.762Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:02.828Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "12"}},
{ "UtcTime": "2024-11-07T12:55:04.696Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "13"}},
{ "UtcTime": "2024-11-07T12:55:05.703Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "12"}},
{ "UtcTime": "2024-11-07T12:55:06.707Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:55:09.773Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:10.832Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:55:11.836Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "12"}},
{ "UtcTime": "2024-11-07T12:55:12.900Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:55:13.967Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:15.988Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:55:17.030Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "12"}},
{ "UtcTime": "2024-11-07T12:55:18.033Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:55:19.066Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:20.100Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:55:21.111Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:55:22.163Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:23.164Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:55:24.230Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:55:25.252Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:55:26.308Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:55:27.363Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:55:28.369Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:55:29.433Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:30.497Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:55:31.564Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:55:32.581Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:33.625Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:55:34.652Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:55:35.705Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:55:36.772Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:55:37.774Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:38.831Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:55:39.833Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:40.834Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:55:41.894Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:55:42.900Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:55:43.963Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:44.967Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:55:46.025Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "13"}},
{ "UtcTime": "2024-11-07T12:55:47.032Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "16"}},
{ "UtcTime": "2024-11-07T12:55:49.433Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "15"}},
{ "UtcTime": "2024-11-07T12:55:50.490Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "17"}},
{ "UtcTime": "2024-11-07T12:55:51.521Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:55:52.566Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:55:53.631Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "12"}},
{ "UtcTime": "2024-11-07T12:55:55.720Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "13"}},
{ "UtcTime": "2024-11-07T12:55:56.763Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:55:57.765Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:55:58.832Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:55:59.835Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:56:01.306Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:56:02.320Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:56:05.435Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:56:07.562Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "11"}},
{ "UtcTime": "2024-11-07T12:56:08.599Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:56:10.014Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:56:10.645Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "10"}},
{ "UtcTime": "2024-11-07T12:56:11.695Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}}
